


yyyy/mmdd(or -ddd)/hh.h):2012/ -42/10.0UT  geog Lat/Long/Alt= 44.0/   2.0/ 300.0

IRIcor2 is used for topside Ne profile
OTSB2012 plasmasphere model w/o  plasmapause
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015 model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
TBKS2021 option is used for the ion temperature
RBV10+TBT15 option is used for ion composition
CGM coordinate computation is turned off

Peak Densities/cm-3: NmF2= 902086.0   NmF1= 224445.6   NmE= 109846.3
Peak Heights/km:     hmF2=   227.12   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              64.4
Dip (Magnetic Inclination)/degree                      59.26
Modip (Modified Dip)/degree                            50.65
Solar Sunspot Number (12-months running mean) Rz12     66.8           
Ionospheric-Effective Solar Index IG12                 77.9           
Solar radio flux F10.7 (daily)                        109.4           
Solar radio flux F10.7 (81-day average)               116.9           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
 from    65.0 to  2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   80.0    430  0.000   208   208   208   0   0   0   0   3 997  -1  22.7  73
   81.0    452  0.001   205   205   205   0   0   0   0   3 997  -1  22.7  73
   82.0    476  0.001   203   203   203   0   0   0   0   3 997  -1  22.7  73
   83.0    523  0.001   200   200   200   0   0   0   0   4 996  -1  22.7  73
   84.0    628  0.001   198   198   198   0   0   0   0   5 995  -1  22.7  73
   85.0    870  0.001   195   195   195   0   0   0   0   7 993  -1  22.7  73
   86.0   1440  0.002   193   193   193   0   0   0   0  12 988  -1  22.7  73
   87.0   2438  0.003   191   191   191   0   0   0   0  21 979  -1  22.7  73
   88.0   3947  0.004   188   188   188   0   0   0   0  33 967  -1  22.7  73
   89.0   6123  0.007   186   186   186   0   0   0   0  51 949  -1  22.7  73
   90.0   9119  0.010   184   184   184   0   0   0   0  73 927  -1  22.7  73
   91.0  13066  0.014   182   182   182   0   0   0   0 100 900  -1  22.7  73
   92.0  18048  0.020   180   180   180   0   0   0   0 131 869  -1  22.7  73
   93.0  24080  0.027   179   179   179   0   0   0   0 173 827  -1  22.7  73
   94.0  31095  0.034   177   177   177   0   0   0   0 219 781  -1  22.7  73
   95.0  38942  0.043   176   176   176   0   0   0   0 268 732  -1  22.7  73
   96.0  47393  0.053   176   176   176   0   0   0   0 317 683  -1  22.7  73
   97.0  56159  0.062   176   176   176   0   0   0   0 364 636  -1  22.7  73
   98.0  64924  0.072   176   176   176   0   0   0   0 407 593  -1  22.7  73
   99.0  73372  0.081   178   178   178   0   0   0   0 444 556  -1  22.7  73
  100.0  81218  0.090   180   180   180   0   0   0   0 474 526  -1  22.7  73
  101.0  88231  0.098   182   182   182   0   0   0   0 498 502  -1  22.7  73
